DateTime parsed,Weight on Bit kkgf,Average Surface Torque kN.m,Rate of Penetration m/h,Total Depth m,Bit Depth (MD) m,Average Rotary Speed rpm
2009-06-27 19:14:30+00:00,,,,892.0,,
2009-06-27 19:15:00+00:00,,,,892.0,,
2009-06-27 19:15:30+00:00,,,,892.0,,
2009-06-27 19:16:00+00:00,,,,892.0,,
2009-06-27 19:16:30+00:00,,,,892.0,,
2009-06-27 19:17:00+00:00,,,,892.0,,
2009-06-27 19:17:30+00:00,,,,892.0,,
2009-06-27 19:18:00+00:00,,,,892.0,,
2009-06-27 19:18:30+00:00,,,,892.0,,
2009-06-27 19:19:00+00:00,,,,892.0,,
2009-06-27 19:19:30+00:00,,,,892.0,,
2009-06-27 19:20:00+00:00,,,,892.0,,
2009-06-27 19:20:30+00:00,,,,892.0,,
2009-06-27 19:21:00+00:00,,,,892.0,,
2009-06-27 19:21:30+00:00,,,,892.0,,
2009-06-27 19:22:00+00:00,,,,892.0,,
2009-06-27 19:22:30+00:00,,,,892.0,,
2009-06-27 19:23:00+00:00,,,,892.0,,
2009-06-27 19:23:30+00:00,,,,892.0,,
2009-06-27 19:24:00+00:00,,,,892.0,,
2009-06-27 19:24:30+00:00,,,,892.0,,
2009-06-27 19:25:00+00:00,,,,892.0,,
2009-06-27 19:25:30+00:00,,,,892.0,,
2009-06-27 19:26:00+00:00,,,,892.0,,
2009-06-27 19:26:30+00:00,,,,892.0,,
2009-06-27 19:27:00+00:00,,,,892.0,,
2009-06-27 19:27:30+00:00,,,,892.0,,
2009-06-27 19:28:00+00:00,,,,892.0,,
2009-06-27 19:28:30+00:00,,,,892.0,,
2009-06-27 19:29:00+00:00,,,,892.0,,
2009-06-27 19:29:30+00:00,,,,892.0,,
2009-06-27 19:30:00+00:00,,,,892.0,,
2009-06-27 19:30:30+00:00,,,,892.0,,
2009-06-27 19:31:00+00:00,,,,892.0,,
2009-06-27 19:31:30+00:00,,,,892.0,,
2009-06-27 19:32:00+00:00,,,,892.0,,
2009-06-27 19:32:30+00:00,,,,892.0,,
2009-06-27 19:33:00+00:00,,,,892.0,,
2009-06-27 19:33:30+00:00,,,,892.0,,
2009-06-27 19:34:00+00:00,,,,892.0,,
2009-06-27 19:34:30+00:00,,,,892.0,,
2009-06-27 19:35:00+00:00,,,,892.0,,
2009-06-27 19:35:30+00:00,,,,892.0,,
2009-06-27 19:36:00+00:00,,,,892.0,,
2009-06-27 19:36:30+00:00,,,,892.0,,
2009-06-27 19:37:00+00:00,,,,892.0,,
2009-06-27 19:37:30+00:00,,,,892.0,,
2009-06-27 19:38:00+00:00,,,,892.0,,
2009-06-27 19:38:30+00:00,,,,892.0,,
2009-06-27 19:39:00+00:00,,,,892.0,,
2009-06-27 19:39:30+00:00,,,,892.0,,
2009-06-27 19:40:00+00:00,,,,892.0,,
2009-06-27 19:40:30+00:00,,,,892.0,,
2009-06-27 19:41:00+00:00,,,,892.0,,
2009-06-27 19:41:30+00:00,,,,892.0,,
2009-06-27 19:42:00+00:00,,,,892.0,,
2009-06-27 19:42:30+00:00,,,,892.0,,
2009-06-27 19:43:00+00:00,,,,892.0,,
